Cu2+_Cl-,,Cu+_Cl-,,Cu2+_Cu2+,,Cu2+_Cu+,,Cu+_Cu+,,Cl-_Cl-,
1.11506983,3.640330735,1.23569977,2.169163657,3.188672817,1.236664216,2.68347534,0.69346407,1.619554809,0.144521301,2.697941529,2.370105432
1.136384363,4.047675648,1.289822426,2.332872008,3.227998007,1.382129317,2.744549252,0.832793029,1.723834984,0.203573721,2.757024105,2.520182267
1.146248298,4.314216396,1.383690312,2.340184084,3.35606477,1.668117908,2.87768232,1.028694911,1.839680181,0.284756176,2.850795864,2.59657599
1.12913331,4.186053294,1.480216739,2.212343183,3.464616232,1.775520236,2.962471228,1.169148969,1.92648455,0.402796367,2.944795392,2.509283872
1.150537278,4.585487605,1.517504647,2.046493725,3.573254524,1.820522524,3.59301076,1.825960646,2.024966821,0.461845709,3.014162861,2.369749618
1.13369239,4.460484417,1.582308859,1.908669973,3.682002262,1.786871813,3.705742392,1.769934971,2.134952543,0.58727284,3.073650988,2.228377102
1.162807539,4.841767234,1.627625591,1.736151487,3.790797965,1.718750903,3.810583933,1.70282131,2.233373243,0.690569936,3.12819088,2.092239148
1.173994387,5.087571911,1.839675,1.3216882,3.899631297,1.623587072,4.137068376,1.428508829,2.447587832,0.911922617,3.182748262,1.943531949
1.181969377,5.274369219,1.93373942,1.187761329,4.008468075,1.525947482,4.24191996,1.354177374,2.540231152,1.000467383,3.242252421,1.790637626
1.201453323,5.475487621,2.042601638,1.071839201,4.117281798,1.444876441,4.338190303,1.292010686,2.656014778,1.125897592,3.30174492,1.646122799
1.242696727,5.704528714,2.151414566,0.991339489,4.226092871,1.36570983,4.45604413,1.22409455,2.766082595,1.192327717,3.376087952,1.481714539
1.302316727,5.528062701,2.260203378,0.928170099,4.334900499,1.28901898,4.572247901,1.15838668,2.864513557,1.288250188,3.445457139,1.340945806
1.311967294,5.356138392,2.368960214,0.887980842,4.438737261,1.233826532,4.797985778,1.016082447,2.962985566,1.354674155,3.524702599,1.204222433
1.323701678,5.208455894,2.475020663,0.891782995,4.572251429,1.155851066,5.053306886,0.888836125,3.044104911,1.391590384,3.623711013,1.068108091
1.343195341,5.008056479,2.586420621,0.845881391,4.740295057,1.118977981,5.159951209,0.845026483,3.16002194,1.421150458,3.732589131,0.940759377
1.360539221,4.774459128,2.693510293,0.820194408,5.363308317,0.793079522,5.284204273,0.828174297,3.270151328,1.443332827,3.841414779,0.851118397
1.377918004,4.515779152,2.803828948,0.841208542,5.472034589,0.774854702,5.399986117,0.812054901,3.36869517,1.458134414,3.950211012,0.7826166
1.392944062,4.313382246,2.915845305,0.825774102,5.580764042,0.754344565,5.501700444,0.760372963,3.490440888,1.465573689,4.058977829,0.735253987
1.400934217,4.151108447,3.017956967,0.82671989,5.685189867,0.719673936,5.608135843,0.749647199,3.560025996,1.458236006,4.167726362,0.701031947
1.411017976,4.006043666,3.129932732,0.840456684,5.857556113,0.683313375,5.907599785,0.734828997,3.966125547,1.281460483,4.276461379,0.676522505
1.421101005,3.861502604,3.23863012,0.842990162,5.959441186,0.665005083,6.03263815,0.753108563,4.186610081,1.163583454,4.385178907,0.664582307
1.431184035,3.716961542,3.347322775,0.848924409,6.074990705,0.659766255,6.14132609,0.762431337,4.401265926,1.067827224,4.493886099,0.66006939
1.441261235,3.576610228,3.455999189,0.866530097,6.20152283,0.628296041,6.485495538,0.81189246,4.470933128,1.001492534,4.602584546,0.661841095
1.451341058,3.434373527,3.565455146,0.870196591,6.292421595,0.638878537,6.916676113,0.916028908,4.598548583,0.957312507,4.711272659,0.671040081
1.461411262,3.299049911,3.673380184,0.881500093,6.382153501,0.659500853,7.150930966,1.005518636,4.720314825,0.950002531,4.819948846,0.688809006
1.479303819,3.122042424,3.782068958,0.890222971,6.509804937,0.652161751,7.359062382,1.073328998,4.801536787,0.913172501,4.928617878,0.711719895
1.492786639,2.943723298,3.893253028,0.881108991,6.667827788,0.715091925,7.474727604,1.141019527,4.894344296,0.883723254,5.0372726,0.744914711
1.511602683,2.737126184,3.996165617,0.898271785,6.939009681,0.802200459,7.842888014,1.351823464,5.004545516,0.854283243,5.14043694,0.778424016
1.522425606,2.56812036,4.1081453,0.909192856,7.73887704,1.532213203,7.941597565,1.430486612,5.10893857,0.832214779,5.345423758,0.862886516
1.543829713,2.403833625,4.224509624,0.925370372,7.837444558,1.712948559,1.990733534,0.063597443,5.236533501,0.802784004,5.452088746,0.905678615
1.559607012,2.225179041,4.316280524,0.940449001,7.916254848,1.888959955,2.089256852,0.093148281,5.317704155,0.802827103,5.560725183,0.952014004
1.579265235,2.047424322,4.434169561,0.965590251,0.80455219,0.01282012,2.170365935,0.137439136,5.410470616,0.80287636,5.669368775,0.99320743
1.611569408,1.912321999,4.548474357,0.996432789,1.305478767,0.021935656,2.245646328,0.203850789,5.53224712,0.788191757,5.778013957,1.033258197
1.642406289,1.563541586,4.648872603,1.011302711,1.444628459,0.022009541,2.413580304,0.351432583,5.613417774,0.788234857,5.886664704,1.069309659
1.672258103,1.415419805,4.761815915,1.039874603,1.576845294,0.004380629,2.488829912,0.439968114,5.735163492,0.795674132,5.995319426,1.102504475
1.706384212,1.239131699,4.86602431,1.055781635,1.966476746,-0.004262044,2.558291879,0.52112594,5.833717596,0.803101092,6.103984483,1.12827201
1.741901094,1.077882546,4.977474366,1.109146457,2.105601809,0.013510943,2.610360134,0.602274531,5.932292223,0.795778802,6.21265749,1.148326252
1.784776076,0.926775,5.086151802,1.126017579,3.286330045,1.483164427,2.812855773,0.912116564,6.025048422,0.803202684,6.321336858,1.16380986
1.837943482,0.790636317,5.194842299,1.133502577,4.866257813,1.068074123,3.021087746,1.266209431,6.152581783,0.818019663,6.430028945,1.1701522
1.929576622,0.628541601,5.303542337,1.134131623,4.984645878,0.988490966,3.078923119,1.369484977,6.268509074,0.840205112,6.538732162,1.168495929
2.029786897,0.516414222,5.412249264,1.129809149,5.123869455,0.935467545,3.14257692,1.458014351,6.442384619,0.884545222,6.647449689,1.156555731
2.142308595,0.43371686,5.520957743,1.124371223,5.242220578,0.882433041,3.206230721,1.546543725,6.529312129,0.914089904,6.756173577,1.140044899
2.251061898,0.396066845,5.629674021,1.113328828,6.786991499,0.732810795,3.281470068,1.642453881,6.645249682,0.928900726,6.864907004,1.116678116
2.361754691,0.384927557,5.734618142,1.081752139,7.058173314,0.847999034,3.350932034,1.723611708,6.766985139,0.943714627,6.973645202,1.089883357
2.468473102,0.389326328,5.847123068,1.079393038,7.197187551,0.945417979,3.890219185,1.664901005,6.859679768,0.995386264,7.073908662,1.066348839
2.57714452,0.410523229,5.955853467,1.058202747,7.315341648,1.033976291,3.983088264,1.591204003,6.981425486,1.002825539,7.188301265,1.034088641
2.685794472,0.44714602,6.07142471,1.037351561,7.454331256,1.149094339,4.052765727,1.517494687,7.050990071,1.010237107,7.275145122,1.016627578
2.794430909,0.493481409,6.164843615,1.016144919,7.586314123,1.299606896,4.882635608,0.964837981,7.161109196,1.039794103,7.408582887,0.993559576
2.903055421,0.548386738,6.371808224,0.992505762,7.648808343,1.388135654,4.958059667,0.928004873,7.265430418,1.06934802,7.520124267,0.981294404
3.011667213,0.612433335,6.479673406,1.00130166,7.954124933,1.972368565,5.723680564,0.714547091,7.381326924,1.113657345,7.626009196,0.975963803
3.120271849,0.681621896,6.694093079,0.959308512,0.252145153,0.000137426,5.79325541,0.714584033,7.491456312,1.135839715,7.734702874,0.981163484
3.228874101,0.752524445,6.909896243,0.951360467,,,6.204875797,0.736926486,7.57259618,1.158006692,7.843383831,0.995504433
3.337504973,0.802859139,7.013351454,0.961498088,,,6.291823831,0.751721916,7.665331856,1.180179826,7.937236382,1.013836817
3.453759929,0.897634636,7.119590198,0.955528738,,,6.372963699,0.773888893,7.787057051,1.202368352,0.181859371,0.01101456
3.554721402,0.936094297,7.222301351,0.948366428,,,6.581636928,0.810872849,7.879782465,1.231916112,0.321039848,-0.011035433
3.663370824,0.973097974,7.339474082,0.947204366,,,6.68595815,0.840426766,,,0.674681196,0.011276235
3.772034821,0.999627282,7.444900692,0.933072324,,,6.767098018,0.862593743,,,0.952970318,0.018798631
3.880718959,1.011682914,7.556904622,0.926568305,,,7.03365793,0.965980117,,,1.097907652,0.02625022
3.989416611,1.014025949,7.670921168,0.894023149,,,7.265491989,1.025100265,,,1.248653152,0.026330262
4.098120623,1.011798349,1.692885465,1.61211186,,,7.549373779,1.180118255,,,1.382035726,0.004277191
4.206823045,1.010713407,2.488234729,0.867696411,,,7.636291028,1.217037562,,,1.538568867,0.011734937
4.315535008,1.002772515,6.262464888,1.017193053,,,7.728975395,1.276083825,,,1.695122532,0.004443431
4.424223915,1.011400171,6.587188549,0.987866947,,,3.414606358,1.79739183,,,1.811080609,0.004505002
4.572400648,1.04861528,1.756836857,1.486777085,,,3.489958585,1.812181102,,,1.938634493,0.00457273
4.68106014,1.07838212,6.790145969,0.965850818,,,4.642187404,1.096273731,,,2.042996762,0.004628143
4.789720427,1.107577631,7.758488265,0.899993301,,,4.709053141,1.04321189,,,5.230704812,0.824904803
4.898383894,1.134487825,7.845477346,0.885290227,,,,,,,,
5.007057696,1.153970737,7.932466427,0.870587154,,,,,,,,
5.086100127,1.163153982,,,,,,,,,,
5.273945945,1.098693466,,,,,,,,,,
5.382657908,1.090752574,,,,,,,,,,
5.491377025,1.077669717,,,,,,,,,,
5.600094552,1.06572952,,,,,,,,,,
5.708811285,1.054360651,,,,,,,,,,
5.817545772,1.030232095,,,,,,,,,,
5.926264625,1.017339682,,,,,,,,,,
6.034986127,1.002542838,,,,,,,,,,
6.143706039,0.988888653,,,,,,,,,,
6.252423567,0.976948455,,,,,,,,,,
6.489508724,1.034778641,,,,,,,,,,
6.598218301,1.028551736,,,,,,,,,,
6.706923108,1.025752807,,,,,,,,,,
6.815619966,1.028667171,,,,,,,,,,
6.899617123,1.027949998,,,,,,,,,,
7.052826493,0.99927442,,,,,,,,,,
7.161520435,1.004283657,,,,,,,,,,
7.270242733,0.988915484,,,,,,,,,,
7.378959465,0.977546615,,,,,,,,,,
7.483725666,0.964575926,,,,,,,,,,
7.583263447,0.921474341,,,,,,,,,,
7.705240043,0.849742007,,,,,,,,,,
7.813980625,0.82123326,,,,,,,,,,
7.922737108,0.781297928,,,,,,,,,,
7.986995653,0.762478167,,,,,,,,,,
0.036932299,-0.003811655,,,,,,,,,,
0.106496883,0.003599913,,,,,,,,,,
0.19346544,0.003646091,,,,,,,,,,
0.303615351,0.011079209,,,,,,,,,,
0.419573428,0.01114078,,,,,,,,,,
0.523935697,0.011196194,,,,,,,,,,
0.610904254,0.011242372,,,,,,,,,,
0.709468619,0.011294707,,,,,,,,,,
0.802235081,0.011343963,,,,,,,,,,
0.877577045,0.033507862,,,,,,,,,,
0.912302897,0.077774088,,,,,,,,,,
0.935381633,0.158907286,,,,,,,,,,
0.946874823,0.232659701,,,,,,,,,,
0.958378275,0.29903749,,,,,,,,,,
0.981467272,0.372796063,,,,,,,,,,
0.992847583,0.527669362,,,,,,,,,,
0.992796274,0.564542491,,,,,,,,,,
0.992755227,0.594040994,,,,,,,,,,
0.987244653,0.387548393,,,,,,,,,,
1.02147794,0.785796658,,,,,,,,,,
1.00952297,1.043902405,,,,,,,,,,
1.234830539,5.793284574,,,,,,,,,,
1.369752379,4.66503763,,,,,,,,,,
1.61141722,1.825932909,,,,,,,,,,
4.488296054,1.023625647,,,,,,,,,,
5.154880544,1.149348318,,,,,,,,,,
5.201284298,1.134623694,,,,,,,,,,
6.314676808,0.995096882,,,,,,,,,,
6.407422745,1.00989539,,,,,,,,,,
6.96400099,1.024940181,,,,,,,,,,
7.659934161,0.89256634,,,,,,,,,,
1.640581189,1.700579663,,,,,,,,,,
3.386909823,0.868173584,,,,,,,,,,
