Be-F,,Li-F,,Be-Li,,Li-Li,,Be-Be,,F-F,
1.514994378,10.28895396,2.081009337,1.979604663,3.357423292,1.869566626,3.524565608,1.263759389,3.645711115,0.291738605,3.136220666,1.196616614
1.520972981,10.45934626,2.111125884,1.786320459,3.400589599,1.694343013,3.582084318,1.212534897,3.721342141,0.370293534,3.210945932,1.145729459
1.522334521,10.66526234,2.141324772,1.596537465,3.43568783,1.532276121,3.652504321,1.143119861,3.799864635,0.480515581,3.285671198,1.090275507
1.531330331,10.88577203,2.181466444,1.416475222,3.488197084,1.344807342,3.721002481,1.065810529,3.86705641,0.564352763,3.360396464,1.043955148
1.532947761,11.06139218,2.216050038,1.251418166,3.549326783,1.138553065,3.783665452,1.018059909,3.920835957,0.628930635,3.432995419,0.98393484
1.546610467,11.26038075,2.259374541,1.083751513,3.609874664,0.9923721,3.863093706,0.965341017,3.976451898,0.719638335,3.550606231,0.898786603
1.568269533,11.02214285,2.301178885,0.941879729,3.666002384,0.880295915,3.937818972,0.925218452,4.039099497,0.812259711,3.625331497,0.843500587
1.572089567,10.79969399,2.369041271,0.811048551,3.718738079,0.797293797,3.992102822,0.886652149,4.100289815,0.924981056,3.700471038,0.799379658
1.581088276,10.57524986,2.446030939,0.726367105,3.795161646,0.723627028,4.053869574,0.856499045,4.18025151,1.017811142,3.808748058,0.756993038
1.592310216,9.976608139,2.518038922,0.656357398,3.869886912,0.676001869,4.148408357,0.828663336,4.250306447,1.100135795,3.883473324,0.728529695
1.599597474,9.542566799,2.613143806,0.573575159,3.944612178,0.642729499,4.223133623,0.818224945,4.32197477,1.180264337,3.965406072,0.705211251
1.605201868,9.139253471,2.687869072,0.579446754,4.019337444,0.622505116,4.297858889,0.805829356,4.389227509,1.281092669,4.06009668,0.697698986
1.611995074,8.706875749,2.766670261,0.564180607,4.094062709,0.626419513,4.372584155,0.805176957,4.461968444,1.350590376,4.134821945,0.710094575
1.626276246,8.186424104,2.837319603,0.568355964,4.168787975,0.633595907,4.44730942,0.799957761,4.53465064,1.397754201,4.209547211,0.709442176
1.633951687,7.789578851,2.912044869,0.591842343,4.243513241,0.636857904,4.522034686,0.809743753,4.611365345,1.440767429,4.284272477,0.743683474
1.645791274,7.030111355,2.986770135,0.615328722,4.318238507,0.653820289,4.596759952,0.820182143,4.68507163,1.475833899,4.37299843,0.789500027
1.65275431,6.416709101,3.0614954,0.647296295,4.392963773,0.668825476,4.671485218,0.836492129,4.761495197,1.515401924,4.467689038,0.848981358
1.659547516,5.93768482,3.126030857,0.644197397,4.467689038,0.684483062,4.746210484,0.860630908,4.834522161,1.526805022,4.542414304,0.903857206
1.673133928,5.412911029,3.217739138,0.743199011,4.542414304,0.717587497,4.820935749,0.882160089,4.909247427,1.54303104,4.61713957,0.95220906
1.679927134,4.868402155,3.292464404,0.773209384,4.61713957,0.747840103,4.895661015,0.906298868,4.981595071,1.553436811,4.704092607,1.026527027
1.692664395,4.275093803,3.368887971,0.827045929,4.691864836,0.781354706,4.970386281,0.946747633,5.058697959,1.519218461,4.766590102,1.079594885
1.707609449,3.769158046,3.438518332,0.879511103,4.766590102,0.807450683,5.045111547,0.970234012,5.133423224,1.49516365,4.841315367,1.126809875
1.713893164,3.401726687,3.516640201,0.934352044,4.841315367,0.839418255,5.119836813,1.014597173,5.202325742,1.468844344,4.916040633,1.16725864
1.726253025,3.013404048,3.587591464,0.971321345,4.916040633,0.878152053,5.194562078,1.043955148,5.258241518,1.447841733,4.990765899,1.200531011
1.738937389,2.702028298,3.666090733,1.022425967,4.990765899,0.915338821,5.269287344,1.078532318,5.317573773,1.414899477,5.065491165,1.223364991
1.747438052,2.328855825,3.746638747,1.107331092,5.063550249,0.959813646,5.34401261,1.105280694,5.384155137,1.368113697,5.14021643,1.23576058
1.757199852,2.068113519,3.815541264,1.145077059,5.14021643,0.984735392,5.418737876,1.127462275,5.447747093,1.325648531,5.214941696,1.227931787
1.771403828,1.798128889,3.89026653,1.190745019,5.214941696,1.009936738,5.493463141,1.14442466,5.514827713,1.27416516,5.289666962,1.220102994
1.793430284,1.403499722,3.964991796,1.238370178,5.289666962,1.033180886,5.568188407,1.164649042,5.578801647,1.23520182,5.364392228,1.181294899
1.8115455,1.061197133,4.039717062,1.275556945,5.364392228,1.054710067,5.642913673,1.166606241,5.650553741,1.174671844,5.434265204,1.162450052
1.851069608,0.666868277,4.114442327,1.310134115,5.439117494,1.064906226,5.717638939,1.163996643,5.753869371,1.054229218,5.553480475,1.105730428
1.881567777,0.451676835,4.189167593,1.329053699,5.513842759,1.077954214,5.792364205,1.154863051,5.826330234,0.996646517,5.691001698,1.081517353
1.923633399,0.272220989,4.263892859,1.321877305,5.588568025,1.079669181,5.86708947,1.143772261,5.9010555,0.951146493,5.843803056,1.033091203
1.975431594,0.167864264,4.352618812,1.289183037,5.663293291,1.08032158,5.941814736,1.125505077,5.975780766,0.89325088,5.935483871,1.000807103
2.042514503,0.092272316,4.454102626,1.194659416,5.738018557,1.071187988,6.084472062,1.081141915,6.050506032,0.856064112,6.10485168,0.940950334
2.175810571,0.018078806,4.528827892,1.147686657,5.812743822,1.064663994,6.166839684,1.049663643,6.125231298,0.806481755,6.179576945,0.912897159
2.321035949,0.019836635,4.603553158,1.084599632,5.887469088,1.041587782,6.233922593,1.021773567,6.204323624,0.760301196,6.254302211,0.897891972
2.425898055,0.01176561,4.678278424,1.031269603,5.962194354,1.032044022,6.308647859,0.998939587,6.274681829,0.765380591,6.329027477,0.894872206
2.50445251,0.020004571,4.75300369,0.993720392,6.03691962,1.011167241,6.389195873,0.968929213,6.349407095,0.7549422,6.403752743,0.889000612
2.579177776,0.032978264,4.827728955,0.93990711,6.111644886,1.004475311,6.458098391,0.953271627,6.424132361,0.743199011,6.478478009,0.878972388
2.653903042,0.060136808,4.904994807,0.883913127,6.186370151,0.977726934,6.532823656,0.935004443,6.498857626,0.7549422,6.553203274,0.887695813
2.728628307,0.089494782,5.001333108,0.84693052,6.261095417,0.950083926,6.607548922,0.923098153,6.573582892,0.76733779,6.607548922,0.901638433
2.803353573,0.132553145,5.072284371,0.849540118,6.335820683,0.948611192,6.682274188,0.911518064,6.648308158,0.779080979,6.730050934,0.920096852
2.878078839,0.189311895,5.147009636,0.848235319,6.410545949,0.947790856,6.756999454,0.912822862,6.723033424,0.799547594,6.898132428,0.952380952
2.952804105,0.259771033,5.221734902,0.836492129,6.483144904,0.946481222,6.83172472,0.913475262,6.79775869,0.819361808,7.096774194,0.976594027
3.027529371,0.352411752,5.296460168,0.829968135,6.571641976,0.942032244,6.906449985,0.909560865,6.872483955,0.838523624,7.226655348,0.992736077
3.102254636,0.445704871,5.371185434,0.831925333,6.648308158,0.948146071,6.981175251,0.912170463,6.947209221,0.852466243,7.348896435,1.008878128
3.167636955,0.538637352,5.4459107,0.839754126,6.723033424,0.947493672,7.055900517,0.922608854,7.021934487,0.884023648,7.501697793,1.033091203
3.244911962,0.656429887,5.520635965,0.845625721,6.79775869,0.966655487,7.130625783,0.929132848,7.092885749,0.913793597,7.669779287,1.033091203
3.312844022,0.761831651,5.595361231,0.859978509,6.872483955,0.967307887,7.205351048,0.937614041,7.230388407,0.94827532,7.906621392,1.033091203
3.380776082,0.868093642,5.671218698,0.876034783,6.947209221,0.99062633,7.280076314,0.945442834,7.378532025,0.988630445,8.120543294,1.025020178
3.455501347,0.96274109,5.744811763,0.891946081,7.021934487,0.994298495,7.35480158,0.958490823,7.546840111,1.006972805,8.380305603,0.992736077
3.523433407,1.059227332,5.823357062,0.917463955,7.096659753,1.007346484,7.429526846,0.968929213,7.742911537,1.020941142,8.624787776,0.968523002
3.638917909,1.185935992,5.931606617,0.946486058,7.171385019,1.016480076,7.504252112,0.981324803,7.88266115,1.022555831,8.815789474,0.960451977
3.713643175,1.259899359,6.090308034,1.002302453,7.246110284,1.034989491,7.578977377,0.991110794,8.017148318,1.026078788,8.93803056,0.960451977
3.78836844,1.334925293,6.254302211,1.047963184,7.32083555,1.053498907,7.653702643,0.998939587,8.114793788,1.028228687,9.129032258,0.976594027
3.863093706,1.403427234,6.329027477,1.066304664,7.395560816,1.063284899,7.728427909,1.009377978,8.197159122,1.011483769,9.388794567,0.992736077
3.937818972,1.472581573,6.403752743,1.074375689,7.470286082,1.074375689,7.803153175,1.019163969,8.264239742,1.022732823,9.679117148,1.008878128
4.012544238,1.501939547,6.478478009,1.094189904,7.545011347,1.081552083,7.87787844,1.025035564,8.329626638,0.995826182,9.847198642,1.008878128
4.087269504,1.514987536,6.553203274,1.103975895,7.619736613,1.088076077,7.952603706,1.030907159,8.416806115,0.997615445,9.954159593,1.000807103
4.161994769,1.485629562,6.62792854,1.105280694,7.694461879,1.093295273,8.027328972,1.037137574,8.516439803,1.003935894,,
4.236720035,1.431648345,6.702653806,1.103323496,7.769187145,1.085224248,8.102054238,1.037920453,8.678627595,1.018283846,,
4.311445301,1.357200514,6.777379072,1.102018697,7.843912411,1.076258591,8.176779504,1.038518486,8.770052826,1.005725157,,
4.386170567,1.292780906,6.852104337,1.092885105,7.918637676,1.072344195,8.251504769,1.037141198,8.833594174,1.007775555,,
4.44518311,1.215902257,6.926829603,1.086361111,7.985720585,1.067616717,8.325184927,1.022782835,8.924032161,1.009881785,,
4.557359357,1.103472088,7.001554869,1.063452835,8.070205363,1.055658478,8.400955301,1.031559559,8.998757427,1.017300411,,
4.630725982,1.042146542,7.076280135,1.048615583,8.159796489,1.040693151,8.475680567,1.026340363,9.073482693,1.008576986,,
4.705451248,0.982535962,7.266448704,1.002146632,8.237918357,1.023879358,8.550405833,1.021773567,9.148207959,1.025129204,,
4.807331027,0.900763145,7.444843603,0.984567456,8.312643623,1.009936738,8.625131098,1.015249573,9.222933225,1.027981033,,
4.929627045,0.846184481,7.626529819,0.961006781,8.387368889,0.99623635,8.699856364,1.010682777,9.29765849,1.037767025,,
5.004352311,0.814142613,7.705075119,0.956850152,8.462094155,0.981641331,8.77458163,1.002853984,9.372383756,1.038419424,,
5.079077577,0.788699035,7.775980351,0.942907532,8.536819421,0.966393912,8.849306896,0.997634788,9.447109022,1.045185651,,
5.153802842,0.784784639,7.850705617,0.950083926,8.611544686,0.965983744,8.924032161,0.991908171,9.521834288,1.051709645,,
5.228528108,0.792203264,7.925430882,0.950736326,8.686269952,0.955955521,8.998757427,0.99009595,9.596559553,1.041029022,,
5.293548794,0.803349886,8.000156148,0.952041124,8.760995218,0.952935756,9.073482693,0.98516671,9.671284819,1.044943419,,
5.379110841,0.846638757,8.074881414,0.954650722,8.835720484,0.949021359,9.148207959,0.983282001,9.746010085,1.051467413,,
5.459497112,0.877276765,8.14960668,0.965983744,8.910445749,0.944454563,9.222933225,0.978715205,9.820735351,1.050162614,,
5.534222377,0.901657776,8.224331945,0.964026546,8.985171015,0.94771656,9.29765849,0.981324803,9.895460617,1.049920382,,
5.608947643,0.926448954,8.293773607,0.966128722,9.059896281,0.939887767,9.372383756,0.982629601,9.95659947,1.055568209,,
5.683672909,0.966729783,8.552891487,1.004791839,9.134621547,0.938582968,9.447109022,0.979367604,,,,
5.93581346,1.054634891,8.793285834,1.014858749,9.209346813,0.948611192,9.521834288,0.983282001,,,,
6.065806767,1.099013439,8.951204985,1.020077944,9.281354796,0.943802164,9.596559553,0.990458395,,,,
6.186370151,1.115234621,9.039516663,1.020077944,9.358797344,0.952525588,9.671284819,0.987196397,,,,
6.261095417,1.118496618,9.271710183,1.020077944,9.430126007,0.957614304,9.746010085,0.990458395,,,,
6.335820683,1.12828261,9.845643773,1.003897207,9.498058067,0.967120607,9.820735351,0.99567759,,,,
6.410545949,1.120621752,9.959572642,1.003897207,9.613595211,0.981473395,9.895460617,0.996982389,,,,
6.483991766,1.099912906,,,9.757332095,0.991372369,9.95659947,1.001735585,,,,
6.55999648,1.082353075,,,9.842808693,0.998548763,,,,,,
6.634721746,1.071020052,,,9.943013058,1.005725157,,,,,,
6.709447012,1.053815435,,,,,,,,,,
6.898773296,1.009956081,,,,,,,,,,
7.063053067,0.977019582,,,,,,,,,,
7.233821631,0.937352466,,,,,,,,,,
7.38876761,0.915748988,,,,,,,,,,
7.463492876,0.906130932,,,,,,,,,,
7.538218141,0.903521335,,,,,,,,,,
7.612943407,0.908330363,,,,,,,,,,
7.687668673,0.916401388,,,,,,,,,,
7.903781226,0.960235976,,,,,,,,,,
8.112299741,1.002983233,,,,,,,,,,
8.343120735,1.026359707,,,,,,,,,,
8.502024839,1.040544558,,,,,,,,,,
8.611130411,1.051877581,,,,,,,,,,
8.720235982,1.058643807,,,,,,,,,,
8.794961248,1.061253404,,,,,,,,,,
8.869686514,1.059296206,,,,,,,,,,
8.944411779,1.054487178,,,,,,,,,,
9.019137045,1.05252998,,,,,,,,,,
9.093862311,1.042501757,,,,,,,,,,
9.16773156,1.042501757,,,,,,,,,,
9.537455457,1.012006919,,,,,,,,,,
9.827528557,0.981473395,,,,,,,,,,
9.902253823,0.972097571,,,,,,,,,,
9.959996073,0.97340237,,,,,,,,,,
